"Source Name","Date Modified","Data Source","Date Created",Owner,Organization,Description
biblio.dbf,"2006-12-05 00:00:00 EET",jo-2009-11-16.E01,,,,
soffice.odp,"2009-04-16 11:32:35 EET",jo-2009-11-16.E01,"2009-04-16 11:32:32 EET",,,
soffice.ods,"2009-04-16 11:32:50 EET",jo-2009-11-16.E01,"2009-04-16 11:32:48 EET",,,
soffice.odt,"2009-04-16 11:32:06 EET",jo-2009-11-16.E01,"2009-04-16 11:32:02 EET",,,
biblio.dbf,"2006-12-05 00:00:00 EET",jo-2009-11-16.E01,,,,
LICENSE_de.rtf,,jo-2009-11-16.E01,"2009-04-02 08:55:00 EET",,,
LICENSE_es.rtf,,jo-2009-11-16.E01,"2009-04-01 10:33:00 EET",,,
LICENSE_fr.rtf,,jo-2009-11-16.E01,"2009-04-01 17:22:00 EET",,,
LICENSE_it.rtf,,jo-2009-11-16.E01,"2009-04-02 15:09:00 EET",ac,Alpha,
LICENSE_ja.rtf,,jo-2009-11-16.E01,"2009-06-12 12:14:00 EEST",,,
LICENSE_sv.rtf,,jo-2009-11-16.E01,"2007-10-02 07:29:00 EET",,,
LICENSE_zh_CN.rtf,,jo-2009-11-16.E01,"2009-04-01 09:46:00 EET",Alpha_SC,Alpha,
biblio.dbf,"2006-12-05 00:00:00 EET",jo-2009-11-16.E01,,,,
lyt-aqua.otp,"2006-12-14 14:28:39 EET",jo-2009-11-16.E01,"2005-11-30 14:00:41 EET","Ilko Hoepping",,"Blue Border"
lyt-blackandwhite.otp,"2006-12-14 14:28:03 EET",jo-2009-11-16.E01,"2006-06-28 15:51:02 EEST","Ilko Hoepping",,"Black and White"
idxexample.odt,"2002-06-27 17:12:24 EEST",jo-2009-11-16.E01,"1999-12-07 16:24:14 EET","Tom Verbeek",,
lyt-bluegrey.otp,"2006-12-14 14:26:47 EET",jo-2009-11-16.E01,"2005-11-30 11:16:56 EET","Ilko Hoepping",,"Blue and Grey"
lyt-bluelinesgrad.otp,"2006-12-14 14:25:15 EET",jo-2009-11-16.E01,"2006-07-11 11:57:48 EEST","Ilko Hoepping",,"Blue Lines and Gradients"
lyt-bluetitledown.otp,"2008-04-28 16:44:42 EEST",jo-2009-11-16.E01,"2006-07-11 12:02:21 EEST","Volker Ahrendt",,"Blue with Bottom Title"
lyt-brown.otp,"2006-12-14 14:44:44 EET",jo-2009-11-16.E01,"2006-08-04 13:47:32 EEST","Ilko Hoepping",,Brown
lyt-book.otp,"2006-12-14 14:29:12 EET",jo-2009-11-16.E01,"2005-11-24 17:33:52 EET","Ilko Hoepping",,Notebook
lyt-charglow.otp,"2006-12-14 14:43:57 EET",jo-2009-11-16.E01,"2006-08-17 14:41:41 EEST","Ilko Hoepping",,"Characters with Glow"
lyt-forest.otp,"2008-07-08 16:27:18 EEST",jo-2009-11-16.E01,"2008-04-04 16:18:04 EET",,,Forest
lyt-frepa.otp,"2006-12-14 14:42:35 EET",jo-2009-11-16.E01,"2006-08-04 13:40:43 EEST","Ilko Hoepping",,Fresco
lyt-glacier.otp,"2008-07-08 16:24:11 EEST",jo-2009-11-16.E01,"2008-04-04 16:32:41 EET",,,Glacier
lyt-greengradlines.otp,"2008-04-28 16:45:36 EEST",jo-2009-11-16.E01,"2006-07-11 12:00:18 EEST","Volker Ahrendt",,"Green with White Lines"
lyt-keyboard.otp,"2008-07-08 16:22:29 EEST",jo-2009-11-16.E01,"2008-04-04 16:36:08 EET",,,Keyboard
lyt-movwaves.otp,"2006-12-14 14:32:57 EET",jo-2009-11-16.E01,"2006-08-04 13:18:47 EEST","Ilko Hoepping",,"Light Blue Shapes"
lyt-numdark.otp,"2008-04-28 16:46:48 EEST",jo-2009-11-16.E01,"2006-08-17 14:22:11 EEST","Ilko Hoepping",,"Numbers on Dark Background"
lyt-ocean.otp,"2006-12-14 14:33:59 EET",jo-2009-11-16.E01,"2005-11-30 11:19:50 EET","Ilko Hoepping",,"Blue Step Gradients"
