Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2009-11-17 02:25:23 EET","2009-11-17 02:25:23 EET","2009-11-17 02:25:23 EET","2009-11-09 02:38:23 EET",56,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/.",,,,
"[parent folder]","2009-11-16 20:52:55 EET","2009-11-16 20:52:55 EET","2009-11-17 02:08:09 EET","2009-11-08 17:45:04 EET",56,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/..",,,,
ALG.EXE-0F138680.pf,"2009-11-13 06:50:40 EET","2009-11-13 06:50:40 EET","2009-11-13 06:50:40 EET","2009-11-10 02:40:33 EET",35922,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/ALG.EXE-0F138680.pf",,,application/octet-stream,pf
AVGAM.EXE-0859027A.pf,"2009-11-12 19:17:23 EET","2009-11-12 19:17:23 EET","2009-11-12 19:17:23 EET","2009-11-10 02:40:31 EET",27596,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGAM.EXE-0859027A.pf",,,application/octet-stream,pf
AVGCMGR.EXE-2204F3C3.pf,"2009-11-17 01:47:20 EET","2009-11-17 01:47:20 EET","2009-11-17 01:47:20 EET","2009-11-09 03:32:34 EET",19302,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGCMGR.EXE-2204F3C3.pf",,,application/octet-stream,pf
AVGCSRVX.EXE-369D1E21.pf,"2009-11-13 06:55:59 EET","2009-11-13 06:55:59 EET","2009-11-13 06:55:59 EET","2009-11-09 03:17:08 EET",18512,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGCSRVX.EXE-369D1E21.pf",,,application/octet-stream,pf
"AVGDIAGEX.EXE-31155FE5.pf","2009-11-12 19:17:34 EET","2009-11-12 19:17:34 EET","2009-11-12 19:17:34 EET","2009-11-09 03:22:28 EET",33376,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGDIAGEX.EXE-31155FE5.pf",,,application/octet-stream,pf
AVGEMC.EXE-1D50AA4A.pf,"2009-11-12 19:17:29 EET","2009-11-12 19:17:29 EET","2009-11-12 19:17:29 EET","2009-11-10 02:40:31 EET",29032,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGEMC.EXE-1D50AA4A.pf",,,application/octet-stream,pf
AVGFWS9.EXE-33507B1E.pf,"2009-11-12 19:17:24 EET","2009-11-12 19:17:24 EET","2009-11-12 19:17:24 EET","2009-11-10 02:40:29 EET",72236,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGFWS9.EXE-33507B1E.pf",,,application/octet-stream,pf
"AVGIDSMONITOR.EXE-0A0264AF.pf","2009-11-12 19:17:44 EET","2009-11-12 19:17:44 EET","2009-11-12 19:17:44 EET","2009-11-10 02:41:20 EET",13472,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGIDSMONITOR.EXE-0A0264AF.pf",,,application/octet-stream,pf
AVGNSX.EXE-1E4BB7C6.pf,"2009-11-12 19:17:26 EET","2009-11-12 19:17:26 EET","2009-11-12 19:17:26 EET","2009-11-10 02:40:31 EET",15956,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGNSX.EXE-1E4BB7C6.pf",,,application/octet-stream,pf
AVGSRMAX.EXE-3B29F6BC.pf,"2009-11-16 22:03:34 EET","2009-11-16 22:03:34 EET","2009-11-16 22:03:34 EET","2009-11-09 10:03:05 EET",32904,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGSRMAX.EXE-3B29F6BC.pf",,,application/octet-stream,pf
AVGUPD.EXE-1C156B0E.pf,"2009-11-17 01:18:51 EET","2009-11-17 01:18:51 EET","2009-11-17 01:18:51 EET","2009-11-09 05:18:28 EET",50058,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/AVGUPD.EXE-1C156B0E.pf",,,application/octet-stream,pf
CMD.EXE-087B4001.pf,"2009-11-17 02:21:47 EET","2009-11-17 02:21:47 EET","2009-11-17 02:21:47 EET","2009-11-16 20:47:21 EET",16636,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/CMD.EXE-087B4001.pf",,,application/octet-stream,pf
CTFMON.EXE-0E17969B.pf,"2009-11-13 03:46:25 EET","2009-11-13 03:46:25 EET","2009-11-13 03:46:25 EET","2009-11-10 02:44:54 EET",15622,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/CTFMON.EXE-0E17969B.pf",,,application/octet-stream,pf
DEFRAG.EXE-273F131E.pf,"2009-11-15 13:51:12 EET","2009-11-15 13:51:12 EET","2009-11-15 13:51:12 EET","2009-11-15 13:51:12 EET",15660,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/DEFRAG.EXE-273F131E.pf",,,application/octet-stream,pf
DFRGNTFS.EXE-269967DF.pf,"2009-11-15 13:51:12 EET","2009-11-15 13:51:12 EET","2009-11-15 13:51:12 EET","2009-11-15 13:51:12 EET",32052,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/DFRGNTFS.EXE-269967DF.pf",,,application/octet-stream,pf
EXPLORER.EXE-082F38A9.pf,"2009-11-11 22:03:04 EET","2009-11-11 22:03:04 EET","2009-11-11 22:03:04 EET","2009-11-09 02:41:24 EET",66890,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/EXPLORER.EXE-082F38A9.pf",,,application/octet-stream,pf
"FIREFOX SETUP 3.5.5.EXE-32FD9AA8.pf","2009-11-13 03:50:31 EET","2009-11-13 03:50:31 EET","2009-11-13 03:50:31 EET","2009-11-13 03:50:31 EET",46982,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/FIREFOX SETUP 3.5.5.EXE-32FD9AA8.pf",,,application/octet-stream,pf
FIREFOX.EXE-28641590.pf,"2009-11-16 21:34:04 EET","2009-11-16 21:34:04 EET","2009-11-16 21:34:04 EET","2009-11-13 03:52:14 EET",91142,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/Prefetch/FIREFOX.EXE-28641590.pf",,,application/octet-stream,pf
