"Source Name","Program Name",Path,Date/Time,Count,Comment,"Data Source"
ALG.EXE-0F138680.pf,ALG.EXE,/WINDOWS/SYSTEM32,"2009-11-13 06:49:55 EET",3,"Prefetch File",jo-2009-11-16.E01
AVGAM.EXE-0859027A.pf,AVGAM.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-12 19:17:13 EET",2,"Prefetch File",jo-2009-11-16.E01
AVGCMGR.EXE-2204F3C3.pf,AVGCMGR.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-17 01:47:20 EET",256,"Prefetch File",jo-2009-11-16.E01
AVGCSRVX.EXE-369D1E21.pf,AVGCSRVX.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-13 06:55:49 EET",12,"Prefetch File",jo-2009-11-16.E01
"AVGDIAGEX.EXE-31155FE5.pf",AVGDIAGEX.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-12 19:17:33 EET",8,"Prefetch File",jo-2009-11-16.E01
AVGEMC.EXE-1D50AA4A.pf,AVGEMC.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-12 19:17:18 EET",2,"Prefetch File",jo-2009-11-16.E01
AVGFWS9.EXE-33507B1E.pf,AVGFWS9.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-12 19:17:20 EET",2,"Prefetch File",jo-2009-11-16.E01
"AVGIDSMONITOR.EXE-0A0264AF.pf",AVGIDSMONITOR.EXE,"/PROGRAM FILES/AVG/AVG9/IDENTITY PROTECTION/AGENT/BIN","2009-11-12 19:17:34 EET",5,"Prefetch File",jo-2009-11-16.E01
AVGNSX.EXE-1E4BB7C6.pf,AVGNSX.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-12 19:17:16 EET",2,"Prefetch File",jo-2009-11-16.E01
AVGSRMAX.EXE-3B29F6BC.pf,AVGSRMAX.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-16 22:03:34 EET",47,"Prefetch File",jo-2009-11-16.E01
AVGUPD.EXE-1C156B0E.pf,AVGUPD.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-17 01:18:41 EET",138,"Prefetch File",jo-2009-11-16.E01
CMD.EXE-087B4001.pf,CMD.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:21:37 EET",6,"Prefetch File",jo-2009-11-16.E01
CTFMON.EXE-0E17969B.pf,CTFMON.EXE,/WINDOWS/SYSTEM32,"2009-11-13 03:46:15 EET",3,"Prefetch File",jo-2009-11-16.E01
DEFRAG.EXE-273F131E.pf,DEFRAG.EXE,/WINDOWS/SYSTEM32,"2009-11-15 13:51:02 EET",1,"Prefetch File",jo-2009-11-16.E01
DFRGNTFS.EXE-269967DF.pf,DFRGNTFS.EXE,/WINDOWS/SYSTEM32,"2009-11-15 13:51:02 EET",1,"Prefetch File",jo-2009-11-16.E01
EXPLORER.EXE-082F38A9.pf,EXPLORER.EXE,/WINDOWS,"2009-11-11 22:02:53 EET",7,"Prefetch File",jo-2009-11-16.E01
"FIREFOX SETUP 3.5.5.EXE-32FD9AA8.pf","FIREFOX SETUP 3.5.5.EXE","/DOCUMENTS AND SETTINGS/JO/MY DOCUMENTS","2009-11-13 03:50:21 EET",1,"Prefetch File",jo-2009-11-16.E01
FIREFOX.EXE-28641590.pf,FIREFOX.EXE,"/PROGRAM FILES/MOZILLA FIREFOX","2009-11-16 21:34:03 EET",12,"Prefetch File",jo-2009-11-16.E01
FIXCFG.EXE-2B621A67.pf,FIXCFG.EXE,"/PROGRAM FILES/AVG/AVG9","2009-11-17 01:18:59 EET",136,"Prefetch File",jo-2009-11-16.E01
HELIX.EXE-2AC0706C.pf,HELIX.EXE,,"2009-11-13 05:07:13 EET",1,"Prefetch File",jo-2009-11-16.E01
HELPSVC.EXE-2878DDA2.pf,HELPSVC.EXE,"/WINDOWS/PCHEALTH/HELPCTR/BINARIES","2009-11-16 04:57:19 EET",4,"Prefetch File",jo-2009-11-16.E01
ICWCONN1.EXE-24884676.pf,ICWCONN1.EXE,"/PROGRAM FILES/INTERNET EXPLORER/CONNECTION WIZARD","2009-11-13 03:58:01 EET",1,"Prefetch File",jo-2009-11-16.E01
IEXPLORE.EXE-27122324.pf,IEXPLORE.EXE,"/PROGRAM FILES/INTERNET EXPLORER","2009-11-13 03:46:13 EET",10,"Prefetch File",jo-2009-11-16.E01
IMAPI.EXE-0BF740A4.pf,IMAPI.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:31:52 EET",14,"Prefetch File",jo-2009-11-16.E01
JAVA.EXE-076DF237.pf,JAVA.EXE,/WINDOWS/SYSTEM32,"2009-11-16 20:47:13 EET",1,"Prefetch File",jo-2009-11-16.E01
JAVA.EXE-0C263507.pf,JAVA.EXE,"/PROGRAM FILES/JAVA/JRE6/BIN","2009-11-16 20:52:53 EET",2,"Prefetch File",jo-2009-11-16.E01
JAVAW.EXE-2DC32ABC.pf,JAVAW.EXE,"/PROGRAM FILES/JAVA/JRE6/BIN","2009-11-12 10:11:08 EET",13,"Prefetch File",jo-2009-11-16.E01
JAVAWS.EXE-021AC9A9.pf,JAVAWS.EXE,"/PROGRAM FILES/JAVA/JRE6/BIN","2009-11-12 10:11:08 EET",4,"Prefetch File",jo-2009-11-16.E01
"JQSNOTIFY.EXE-24AE4A36.pf",JQSNOTIFY.EXE,"/PROGRAM FILES/JAVA/JRE6/BIN","2009-11-16 23:08:10 EET",10,"Prefetch File",jo-2009-11-16.E01
LOGON.SCR-151EFAEA.pf,LOGON.SCR,/WINDOWS/SYSTEM32,"2009-11-17 02:20:18 EET",23,"Prefetch File",jo-2009-11-16.E01
LOGONUI.EXE-0AF22957.pf,LOGONUI.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:31:46 EET",10,"Prefetch File",jo-2009-11-16.E01
MDD_1.3.EXE-39265EDE.pf,MDD_1.3.EXE,/RAM,"2009-11-17 02:22:29 EET",1,"Prefetch File",jo-2009-11-16.E01
MSIEXEC.EXE-2F8A8CAE.pf,MSIEXEC.EXE,/WINDOWS/SYSTEM32,"2009-11-13 03:56:56 EET",16,"Prefetch File",jo-2009-11-16.E01
MSIMN.EXE-38BA891D.pf,MSIMN.EXE,"/PROGRAM FILES/OUTLOOK EXPRESS","2009-11-16 21:33:24 EET",4,"Prefetch File",jo-2009-11-16.E01
NTOSBOOT-B00DFAAD.pf,NTOSBOOT,,"2009-11-13 06:48:01 EET",9,"Prefetch File",jo-2009-11-16.E01
REGSVR32.EXE-25EEFE2F.pf,REGSVR32.EXE,/WINDOWS/SYSTEM32,"2009-11-13 04:30:54 EET",20,"Prefetch File",jo-2009-11-16.E01
RUNDLL32.EXE-12E27DD0.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2009-11-14 02:55:26 EET",1,"Prefetch File",jo-2009-11-16.E01
RUNDLL32.EXE-173808FA.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:19:53 EET",1,"Prefetch File",jo-2009-11-16.E01
RUNDLL32.EXE-17D51176.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2009-11-16 21:26:30 EET",1,"Prefetch File",jo-2009-11-16.E01
RUNDLL32.EXE-24814D9E.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:25:13 EET",1,"Prefetch File",jo-2009-11-16.E01
RUNDLL32.EXE-451FC2C0.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:31:51 EET",3,"Prefetch File",jo-2009-11-16.E01
SETUP.EXE-2E227ED1.pf,SETUP.EXE,"/DOCUME~1/JO/LOCALS~1/TEMP/7ZS8.TMP","2009-11-13 03:50:34 EET",1,"Prefetch File",jo-2009-11-16.E01
SOFFICE.BIN-01E25E9C.pf,SOFFICE.BIN,"/PROGRAM FILES/OPENOFFICE.ORG 3/PROGRAM","2009-11-17 02:08:10 EET",2,"Prefetch File",jo-2009-11-16.E01
SOFFICE.EXE-358D937C.pf,SOFFICE.EXE,"/PROGRAM FILES/OPENOFFICE.ORG 3/PROGRAM","2009-11-17 02:08:10 EET",2,"Prefetch File",jo-2009-11-16.E01
USERINIT.EXE-30B18140.pf,USERINIT.EXE,/WINDOWS/SYSTEM32,"2009-11-11 22:02:51 EET",6,"Prefetch File",jo-2009-11-16.E01
VERCLSID.EXE-3667BD89.pf,VERCLSID.EXE,/WINDOWS/SYSTEM32,"2009-11-17 02:21:10 EET",68,"Prefetch File",jo-2009-11-16.E01
WMIC.EXE-3B772CC6.pf,WMIC.EXE,/WINDOWS/SYSTEM32/WBEM,"2009-11-16 20:47:23 EET",5,"Prefetch File",jo-2009-11-16.E01
WMIPRVSE.EXE-28F301A9.pf,WMIPRVSE.EXE,/WINDOWS/SYSTEM32/WBEM,"2009-11-16 22:50:03 EET",71,"Prefetch File",jo-2009-11-16.E01
WUAUCLT.EXE-399A8E72.pf,WUAUCLT.EXE,/WINDOWS/SYSTEM32,"2009-11-16 10:57:54 EET",42,"Prefetch File",jo-2009-11-16.E01
