Source,Type,Path,"Created Date"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/gallery/sg100.sdv",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/gallery/sg100.sdv","2009-11-10 02:58:21 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/gallery/sg30.sdv",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/gallery/sg30.sdv","2009-11-10 02:58:21 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/uno_packages/cache/log.txt",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/uno_packages/cache/log.txt","2009-11-10 03:24:34 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Cookies/index.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Cookies/index.dat","2009-11-10 21:15:55 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Desktop/OpenOffice.org 3.1 (en-US) Installation Files/readmes/readme_en-US.html",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Desktop/OpenOffice.org 3.1 (en-US) Installation Files/readmes/readme_en-US.html","2009-11-10 02:54:04 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Desktop/OpenOffice.org 3.1 (en-US) Installation Files/readmes/readme_en-US.txt",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Desktop/OpenOffice.org 3.1 (en-US) Installation Files/readmes/readme_en-US.txt","2009-11-10 02:54:04 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Feeds/FeedsStore.feedsdb-ms",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Feeds/FeedsStore.feedsdb-ms","2009-11-10 03:08:53 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/RecoveryStore.{460326F8-CD96-11DE-9E6C-000BDB6358A6}.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/RecoveryStore.{460326F8-CD96-11DE-9E6C-000BDB6358A6}.dat","2009-11-10 03:20:15 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/{460326F9-CD96-11DE-9E6C-000BDB6358A6}.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/{460326F9-CD96-11DE-9E6C-000BDB6358A6}.dat","2009-11-10 03:13:52 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/{591D1E04-CD96-11DE-9E6C-000BDB6358A6}.dat",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Application Data/Microsoft/Internet Explorer/Recovery/Active/{591D1E04-CD96-11DE-9E6C-000BDB6358A6}.dat","2009-11-10 03:20:13 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/12/AVGIDSAgent.exe",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/12/AVGIDSAgent.exe","2009-11-09 03:15:09 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/27/avgdiagex.exe",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/27/avgdiagex.exe","2009-11-09 03:15:58 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/5/winspamcatcher.dll",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/5/winspamcatcher.dll","2009-11-09 03:15:00 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/avg9us.chm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/avg9us.chm","2009-11-09 03:16:11 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/avgas9us.chm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/avgas9us.chm","2009-11-09 03:16:11 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/avgsm9us.chm",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/avgsm9us.chm","2009-11-09 03:16:11 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/contacts_us.html",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/60/contacts_us.html","2009-11-09 03:16:11 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/64/avgrsx.exe",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/64/avgrsx.exe","2009-11-09 03:15:46 EET"
"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/65/avgssff.dll",File,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/AVGDownloadManager/packages/65/avgssff.dll","2009-11-09 02:53:11 EET"
