"Source Name",Domain,Text,"Program Name","Date Accessed","Data Source"
places.sqlite,bing.com,"firefox download","FireFox Analyzer","2009-11-13 03:48:42 EET",jo-2009-11-16.E01
places.sqlite,bing.com,"firefox download","FireFox Analyzer","2009-11-13 03:48:42 EET",jo-2009-11-16.E01
places.sqlite,google.com,firefox,"FireFox Analyzer","2009-11-13 03:49:14 EET",jo-2009-11-16.E01
places.sqlite,bing.com,"Download Firefox 2008","FireFox Analyzer","2009-11-13 03:48:38 EET",jo-2009-11-16.E01
places.sqlite,bing.com,"Download Firefox 2008","FireFox Analyzer","2009-11-13 03:48:38 EET",jo-2009-11-16.E01
places.sqlite,google.com,mozrepl,"FireFox Analyzer","2009-11-13 03:53:17 EET",jo-2009-11-16.E01
places.sqlite,google.com,"mozrepl download","FireFox Analyzer","2009-11-13 03:53:29 EET",jo-2009-11-16.E01
places.sqlite,google.com,"mozrepl download","FireFox Analyzer","2009-11-13 03:53:39 EET",jo-2009-11-16.E01
places.sqlite,google.com,mozrepl,"FireFox Analyzer","2009-11-13 03:54:26 EET",jo-2009-11-16.E01
places.sqlite,google.com,"python download","FireFox Analyzer","2009-11-13 03:55:24 EET",jo-2009-11-16.E01
places.sqlite,google.com,"http://www.python.org/download/releases/2.6.2/","FireFox Analyzer","2009-11-13 03:55:32 EET",jo-2009-11-16.E01
places.sqlite,google.com,wikipedia,"FireFox Analyzer","2009-11-16 20:55:06 EET",jo-2009-11-16.E01
places.sqlite,google.com,dell,"FireFox Analyzer","2009-11-16 20:55:38 EET",jo-2009-11-16.E01
places.sqlite,google.com,"http://na.link.decdna.net/n/43643/52191/altfarm.mediaplex.com/1qx79te;11;4;;8;;bo8fs6;10m6dz;;66wa7;;1;/i/c?0&pq=%2fad%2fck%2f12309%2d80731%2d2056%2d0%3fkw%3ddell%2b%28exact%29%26mpre%3dhttp%253A%252F%252Flt%2edell%2ecom%252Flt%252Flt%2easpx%253FCID%253D16010%2526LID%253D380485%2526DGC%253DST%2526DGSeg%253DDHS%2526DURL%253Dhttp%253A%252F%252Fwww%2edell%2ecom%252Fcontent%252Ftopics%252Freftopic%2easpx%252Fbsd%252Fodg%252F13263%5fsearch%5fgeneric%5fhsb%253Fc%25253dus%252526cs%25253d%252526l%25253den%252526s%25253dgen%2526st%253Ddell%2526ACD%253D%3cx%3dthirdPartyTracking%28%27%2c%27%2c1%2c64%29%3e%2526AID%253DDHS%5fSystems&247cr=3043822405","FireFox Analyzer","2009-11-16 20:55:44 EET",jo-2009-11-16.E01
places.sqlite,google.com,microsoft,"FireFox Analyzer","2009-11-16 20:56:51 EET",jo-2009-11-16.E01
places.sqlite,google.com,cnn,"FireFox Analyzer","2009-11-16 20:57:05 EET",jo-2009-11-16.E01
places.sqlite,google.com,"open office.org","FireFox Analyzer","2009-11-16 21:02:07 EET",jo-2009-11-16.E01
places.sqlite,google.com,toys,"FireFox Analyzer","2009-11-16 21:04:09 EET",jo-2009-11-16.E01
places.sqlite,google.com,"http://tracking.searchmarketing.com/click.asp?AID=204373540","FireFox Analyzer","2009-11-16 21:04:13 EET",jo-2009-11-16.E01
places.sqlite,google.com,toysrus,"FireFox Analyzer","2009-11-16 21:04:26 EET",jo-2009-11-16.E01
places.sqlite,google.com,leapfrog,"FireFox Analyzer","2009-11-16 21:04:39 EET",jo-2009-11-16.E01
places.sqlite,google.com,"sf chronicle","FireFox Analyzer","2009-11-16 21:05:10 EET",jo-2009-11-16.E01
places.sqlite,google.com,"car max","FireFox Analyzer","2009-11-16 23:06:03 EET",jo-2009-11-16.E01
index.dat,bing.com,"firefox download","Internet Explorer Analyzer","2009-11-13 01:48:41 EET",jo-2009-11-16.E01
index.dat,google.com,firefox,"Internet Explorer Analyzer","2009-11-13 01:49:13 EET",jo-2009-11-16.E01
index.dat,bing.com,"Download Firefox 2008","Internet Explorer Analyzer","2009-11-13 01:48:36 EET",jo-2009-11-16.E01
index.dat,bing.com,"Download Firefox 2008","Internet Explorer Analyzer","2009-11-13 01:48:36 EET",jo-2009-11-16.E01
index.dat,bing.com,"Download Firefox 2008","Internet Explorer Analyzer","2009-11-17 00:10:10 EET",jo-2009-11-16.E01
index.dat,bing.com,"firefox download","Internet Explorer Analyzer","2009-11-17 00:10:10 EET",jo-2009-11-16.E01
index.dat,google.com,firefox,"Internet Explorer Analyzer","2009-11-17 00:10:10 EET",jo-2009-11-16.E01
index.dat,bing.com,"Download Firefox 2008","Internet Explorer Analyzer","2009-11-13 01:48:36 EET",jo-2009-11-16.E01
index.dat,google.com,fire,"Internet Explorer Analyzer","2009-11-13 01:49:07 EET",jo-2009-11-16.E01
index.dat,google.com,fi,"Internet Explorer Analyzer","2009-11-13 01:49:06 EET",jo-2009-11-16.E01
index.dat,bing.com,"firefox download","Internet Explorer Analyzer","2009-11-13 01:48:41 EET",jo-2009-11-16.E01
index.dat,google.com,firefox,"Internet Explorer Analyzer","2009-11-13 01:49:13 EET",jo-2009-11-16.E01
index.dat,mozilla.com,firefox,"Internet Explorer Analyzer","2009-11-13 01:49:30 EET",jo-2009-11-16.E01
