Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2009-11-10 01:53:21 EET","2009-11-10 01:53:21 EET","2009-11-17 02:19:55 EET","2009-11-08 17:45:04 EET",56,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/.",,,,
"[parent folder]","2009-11-13 06:50:37 EET","2009-11-13 06:50:37 EET","2009-11-17 01:59:47 EET","2009-11-08 17:45:04 EET",56,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/..",,,,
systemprofile,"2009-11-09 02:54:29 EET","2009-11-09 03:25:44 EET","2009-11-17 02:19:55 EET","2009-11-09 02:36:13 EET",56,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/systemprofile",,,,
AppEvent.Evt,"2009-11-17 02:32:16 EET","2009-11-17 02:32:16 EET","2009-11-17 02:32:16 EET","2009-11-08 17:53:05 EET",65536,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/AppEvent.Evt",,,application/octet-stream,evt
default,"2009-11-17 02:32:38 EET","2009-11-10 03:30:14 EET","2009-11-17 02:32:38 EET","2009-11-08 17:51:28 EET",262144,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/default",,,"application/x.windows-registry",
default.LOG,"2009-11-17 02:20:25 EET","2009-11-17 02:20:25 EET","2009-11-17 02:20:24 EET","2009-11-08 17:51:29 EET",1024,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/default.LOG",,,"application/x.windows-registry",log
default.sav,"2009-11-08 17:51:48 EET","2009-11-08 17:55:54 EET","2009-11-08 17:51:48 EET","2009-11-08 17:51:48 EET",94208,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/default.sav",,,"application/x.windows-registry",sav
Internet.evt,"2009-11-10 02:36:51 EET","2009-11-10 02:36:51 EET","2009-11-10 02:36:51 EET","2009-11-10 01:53:21 EET",65536,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/Internet.evt",,,application/octet-stream,evt
SAM,"2009-11-17 02:32:38 EET","2009-11-09 02:28:51 EET","2009-11-17 02:32:38 EET","2009-11-08 17:52:40 EET",262144,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/SAM",,,"application/x.windows-registry",
SAM.LOG,"2009-11-13 06:49:08 EET","2009-11-13 06:49:08 EET","2009-11-13 06:49:07 EET","2009-11-08 17:52:40 EET",1024,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/SAM.LOG",,,"application/x.windows-registry",log
SecEvent.Evt,"2009-11-08 17:53:06 EET","2009-11-08 17:55:54 EET","2009-11-08 17:53:06 EET","2009-11-08 17:53:06 EET",65536,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/SecEvent.Evt",,,application/octet-stream,evt
SECURITY,"2009-11-17 02:32:38 EET","2009-11-10 21:16:38 EET","2009-11-17 02:32:38 EET","2009-11-08 17:52:40 EET",262144,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/SECURITY",,,"application/x.windows-registry",
SECURITY.LOG,"2009-11-16 10:10:17 EET","2009-11-16 10:10:17 EET","2009-11-16 10:10:17 EET","2009-11-08 17:52:40 EET",1024,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/SECURITY.LOG",,,"application/x.windows-registry",log
software,"2009-11-17 02:32:38 EET","2009-11-16 20:26:33 EET","2009-11-17 02:32:38 EET","2009-11-08 17:51:28 EET",12058624,Allocated,Allocated,unknown,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/software",,,"application/x.windows-registry",
